**** All Elevator Calls (time,src,dest,state,elev dt) stage 2 ****
Elevator call,4.374727290393253,0,-1,3,0, Done, dt, 23.625272709606747
Elevator call,16.957882888088932,-1,0,3,1, Done, dt, 22.042117111911068
Elevator call,22.094056301593582,0,-1,3,0, Done, dt, 196.90594369840642
Elevator call,85.5209666204754,3,2,3,1, Done, dt, 24.479033379524594
Elevator call,91.21019413453945,-1,-2,3,0, Done, dt, 11.78980586546055
Elevator call,104.13701241869234,0,4,3,0, Done, dt, 27.862987581307664
Elevator call,109.21352909346587,-1,0,3,0, Done, dt, 133.78647090653413
Elevator call,114.39235096774041,3,0,3,1, Done, dt, 25.607649032259587
Elevator call,124.42557095980362,0,9,3,1, Done, dt, 141.57442904019638
Elevator call,130.02495678190564,8,10,3,0, Done, dt, 66.97504321809436
Elevator call,130.224911275492,-1,1,3,1, Done, dt, 196.775088724508
Elevator call,137.9515274326701,0,4,3,0, Done, dt, 174.0484725673299
Elevator call,143.91335838799415,0,6,3,0, Done, dt, 191.08664161200585
Elevator call,169.78458339380109,-1,0,3,1, Done, dt, 11.215416606198914
Elevator call,170.0099620835246,0,6,3,1, Done, dt, 27.990037916475387
Elevator call,171.21173315221364,-1,8,3,0, Done, dt, 513.7882668477864
Elevator call,174.84385152106802,0,-1,3,1, Done, dt, 40.15614847893198
Elevator call,187.11678617348463,-1,-2,3,1, Done, dt, 696.8832138265154
Elevator call,187.7299317966884,-1,-2,3,1, Done, dt, 696.2700682033117
Elevator call,195.90869649656992,0,7,3,1, Done, dt, 57.09130350343008
Elevator call,197.5359191292572,-1,1,3,0, Done, dt, 33.464080870742805
Elevator call,205.9895199338651,-1,0,3,1, Done, dt, 20.010480066134903
Elevator call,227.0798304557929,-1,5,3,0, Done, dt, 96.92016954420711
Elevator call,231.51578817426258,-1,0,3,0, Done, dt, 46.48421182573742
Elevator call,232.95043623946805,0,-1,3,0, Done, dt, 34.04956376053195
Elevator call,251.10444690749756,-1,-2,2,0
Elevator call,251.23593354161653,0,9,2,1
Elevator call,254.69771525200505,3,4,3,0, Done, dt, 57.302284747994946
Elevator call,257.7974435335086,-1,0,3,0, Done, dt, 20.202556466491387
Elevator call,295.7943356681491,0,1,3,1, Done, dt, 31.205664331850926
Elevator call,304.99843880775313,6,0,3,0, Done, dt, 108.00156119224687
Elevator call,309.30053828560517,0,-1,3,1, Done, dt, 107.69946171439483
Elevator call,312.30185564398687,0,-1,3,1, Done, dt, 104.69814435601313
Elevator call,316.03237827404377,0,-1,3,1, Done, dt, 100.96762172595623
